season,variant,k,n,mae,rmse,side
2019,FY only,24,773,16.641162085714345,21.117544406426646,64.42432082794308
2019,FY-1 only,24,773,17.622148941185465,21.93309080395854,57.4385510996119
2019,FY-2 only,24,773,17.127530961062515,21.795705230164657,62.225097024579554
2019,FY + FY-1,48,773,16.368114262771098,20.66257494254581,62.613195342820184
2019,FY + FY-2,48,773,16.889505766216487,21.41295177181538,64.8124191461837
2019,all three (current),72,773,15.988997196308777,20.44489991538427,65.32988357050453
2019,train mean (baseline),0,773,17.031962423388393,21.833270102265384,59.37904269081501
2020,FY only,24,592,16.063716283193916,19.756638942044148,56.92567567567568
2020,FY-1 only,24,592,16.76134806887775,21.170704566211665,53.20945945945946
2020,FY-2 only,24,592,17.66808363779234,22.480489645397125,46.62162162162162
2020,FY + FY-1,48,592,14.982887834442678,19.160343090157514,57.60135135135135
2020,FY + FY-2,48,592,15.703106141624016,19.65739176596869,57.939189189189186
2020,all three (current),72,592,15.683923203246417,19.87153192684068,56.08108108108109
2020,train mean (baseline),0,592,15.350871079256299,20.000374257293533,51.01351351351351
2021,FY only,24,742,16.90545367009717,21.195757901902414,59.16442048517521
2021,FY-1 only,24,742,16.197463272591285,20.132824677600695,61.99460916442049
2021,FY-2 only,24,742,17.32468005247675,21.774448740135956,58.22102425876011
2021,FY + FY-1,48,742,16.327977284199164,20.21921811143385,60.78167115902965
2021,FY + FY-2,48,742,16.878995481532098,21.054738867387684,59.56873315363881
2021,all three (current),72,742,16.07509704525118,20.142262263042863,61.05121293800539
2021,train mean (baseline),0,742,16.122426749610067,20.664689038899812,57.14285714285714
2022,FY only,24,736,15.885777477478689,19.84389065976969,61.41304347826087
2022,FY-1 only,24,736,16.342020150565077,20.85059406427099,55.97826086956522
2022,FY-2 only,24,736,15.877082577521872,20.275603976792812,58.152173913043484
2022,FY + FY-1,48,736,15.907396091320349,19.86262063342106,61.95652173913043
2022,FY + FY-2,48,736,14.95431292998483,18.843035751025734,64.13043478260869
2022,all three (current),72,736,15.626869433721447,19.77563746098465,61.141304347826086
2022,train mean (baseline),0,736,15.18065271201033,19.778091579030733,57.33695652173913
2023,FY only,24,737,15.666862147886766,19.918871912894385,63.77204884667571
2023,FY-1 only,24,737,16.406001223445827,20.823037135758486,56.580732700135684
2023,FY-2 only,24,737,17.04696430848201,21.640594717292334,57.12347354138399
2023,FY + FY-1,48,737,15.443375219784302,19.300986950003097,61.46540027137042
2023,FY + FY-2,48,737,15.645991398792416,19.95638934115013,64.04341926729987
2023,all three (current),72,737,14.813276741335237,18.78908313847453,65.5359565807327
2023,train mean (baseline),0,737,16.051940745781057,20.44255103757261,58.7516960651289
2024,FY only,24,803,16.464976095326552,20.493464423774647,60.77210460772105
2024,FY-1 only,24,803,16.521665110917365,20.63939347074014,57.40971357409713
2024,FY-2 only,24,803,17.26759117354371,22.058500227961428,55.41718555417185
2024,FY + FY-1,48,803,16.07485156979036,19.855005770175506,62.515566625155664
2024,FY + FY-2,48,803,16.109336682408586,20.09648905399369,62.26650062266501
2024,all three (current),72,803,16.047051399510128,19.93009875699638,57.78331257783312
2024,train mean (baseline),0,803,15.706736640167255,20.081233896245248,58.40597758405978
2025,FY only,24,809,15.767654894506938,19.932713969892454,63.78244746600742
2025,FY-1 only,24,809,16.406227215569654,20.894205126132235,59.703337453646476
2025,FY-2 only,24,809,16.666267148588584,20.793986124973152,56.36588380716935
2025,FY + FY-1,48,809,15.900696916259337,20.035050845021317,64.6477132262052
2025,FY + FY-2,48,809,16.235993430977377,20.191841972256487,60.69221260815822
2025,all three (current),72,809,15.836382612275196,19.950593417031374,61.928306551297894
2025,train mean (baseline),0,809,15.875101844353903,20.19789438226501,59.5797280593325
