season,variant,k,n,mae,n_bets,ats,n_big,ats_big
2019,keep (as it ships),28,773,13.914945559026759,755,0.49801324503311256,370,0.5216216216216216
2019,drop talent,27,773,13.951243733376973,755,0.4900662251655629,366,0.5136612021857924
2019,rank instead of pct,28,773,13.913305982643736,755,0.49271523178807947,366,0.5081967213114754
2020,keep (as it ships),28,592,13.905687280763821,527,0.5123339658444023,248,0.5161290322580645
2020,drop talent,27,592,13.855955736952318,527,0.5199240986717267,242,0.5082644628099173
2020,rank instead of pct,28,592,13.936858180281076,527,0.5199240986717267,238,0.5
2021,keep (as it ships),28,742,14.26608991979388,729,0.522633744855967,323,0.4953560371517028
2021,drop talent,27,742,14.381076133876663,729,0.5089163237311386,325,0.49230769230769234
2021,rank instead of pct,28,742,14.255934061281724,729,0.5089163237311386,312,0.4935897435897436
2022,keep (as it ships),28,736,13.310051006786322,722,0.5055401662049861,325,0.5230769230769231
2022,drop talent,27,736,13.360774977213662,722,0.5096952908587258,327,0.5198776758409785
2022,rank instead of pct,28,736,13.295212115549594,722,0.5041551246537396,319,0.5172413793103449
2023,keep (as it ships),28,737,13.118488076851884,722,0.5346260387811634,296,0.5574324324324325
2023,drop talent,27,737,13.12188618956197,722,0.5373961218836565,311,0.5691318327974276
2023,rank instead of pct,28,737,13.076680853755656,722,0.5346260387811634,302,0.5695364238410596
2024,keep (as it ships),28,803,14.146287250080857,786,0.4821882951653944,372,0.4838709677419355
2024,drop talent,27,803,14.165392092469695,786,0.4872773536895674,372,0.49193548387096775
2024,rank instead of pct,28,803,14.127874535923663,786,0.4910941475826972,381,0.49081364829396323
2025,keep (as it ships),28,809,13.965111028366206,793,0.47540983606557374,367,0.4659400544959128
2025,drop talent,27,809,13.987679490722872,793,0.48297604035308955,361,0.46814404432132967
2025,rank instead of pct,28,809,13.929231019427583,793,0.4842370744010088,363,0.4738292011019284
