season,start,n_train,n,mae,n_bets,ats
2022,2012,6666,736,13.310051006786322,722,0.5055401662049861
2022,2015,5165,736,13.27367784156788,722,0.502770083102493
2022,2017,3641,736,13.252164856062533,722,0.5110803324099723
2023,2012,7402,737,13.118488076851884,722,0.5346260387811634
2023,2015,5901,737,13.112452263707546,722,0.5277008310249307
2023,2017,4377,737,13.157652080038833,722,0.5263157894736842
2024,2012,8139,803,14.146287250080857,786,0.4821882951653944
2024,2015,6638,803,14.138446997048549,786,0.49236641221374045
2024,2017,5114,803,14.215318018572862,786,0.4872773536895674
2025,2012,8942,809,13.965111028366206,793,0.47540983606557374
2025,2015,7441,809,13.974139006714001,793,0.4918032786885246
2025,2017,5917,809,13.95885149545148,793,0.47793190416141235
